input_canal,channel_id,title,custom_url,description,published_at,country,subscriber_count,view_count,video_count,hidden_subscriber_count,timestamp_execucao
@peperaiohardware,UCyJfHnEgLnvrjQcPsR3UVeQ,Peperaio Hardware,@peperaiohardware,"Há 10 anos me divertindo falando sobre Hardware e PC Gaming! 

Softwares profissionais de análises
** Portrait Displays Calman Ultimate: https://www.portrait.com/
** UL 3DMark: https://benchmarks.ul.com/3dmark
** UL Procyon: https://benchmarks.ul.com/procyon
",2014-03-01T00:28:46Z,BR,346000,76617692,2229,,2026-06-16T11:25:37
@mwinformatica,UCbK5Us4E-HsXw6fQ1PYUuog,MW Informática,@mwinformatica,"Quer testes, gameplays, unboxing, análises de hardware e peças baratas pra montar um PC Gamer show de bola? É aqui na MW Informática! Sou Miguel Wilbert e fiz este canal pra te deixar ligado na tecnologia de um jeito simples e descomplicado. Valeu!",2017-06-30T01:58:49Z,BR,2150000,414538974,2722,,2026-06-16T11:25:37
@pichauinfo,UCo4-WGKOvw3QmzW8MRuuFtQ,Pichau,@pichauinfo,"Bem vindo ao canal do YOUTUBE da Pichau informática.
Aqui você encontrará informações de alguns produtos disponíveis de nossa loja.",2011-10-07T18:59:22Z,BR,1020000,131719923,2663,,2026-06-16T11:25:37
@pcfacts,UCHQvCA9cX3yT1OB842538Fg,PC Facts,@pcfacts,"O PC Facts é onde o nosso querido Marcus Sarmanho se dedica a falar de hardware, tecnologia, placas de vídeo, processador e tudo o mais.",2014-11-23T02:20:31Z,BR,92100,9883751,808,,2026-06-16T11:25:37
@FilipeDeschamps,UCU5JicSrEM5A63jkJ2QvGYw,Filipe Deschamps,@filipedeschamps,"Vou fazer você se apaixonar por programação!

Meu último emprego antes de decidir focar 100% no YouTube foi ser CTO do Pagar.me. Lá tive o prazer de ser responsável por um time com mais de 100 pessoas e aprendi MUITO sobre gestão (principalmente gestão de times grandes) e sobre como lidar com tecnologia em escala. Ambos conhecimentos que quero compartilhar nesse canal.

✅ Projetos
▸ Curso: https://curso.dev
▸ Newsletter: https://filipedeschamps.com.br/newsletter
▸ TabNews: https://www.tabnews.com.br


✅ CONTATO EXCLUSIVO PARA PUBLICIDADE OU PARCERIAS
▸ contato  A R R O B A  filipedeschamps.com.br

✅ CONTATO PARA DÚVIDAS GERAIS E SUGESTÕES
▸ Utilizar comentário no YouTube, pois desta forma outras pessoas poderão se beneficiar de ler a pergunta e resposta, inclusive poderão participar adicionando novos pontos de vista ou novas dúvidas.
",2015-04-15T00:30:29Z,BR,820000,49231258,515,,2026-06-16T11:25:37
@cursoemvideo,UCrWvhVmt0Qac3HgsjQK62FQ,Curso em Vídeo,@cursoemvideo,"💻 O Curso em Vídeo é um dos maiores canais educacionais do YouTube na área de programação! Criado pelo professor Gustavo Guanabara, oferece cursos gratuitos em formato de videoaulas para quem quer aprender tecnologia do zero.

🎓 Para obter certificado, estude pela plataforma online, comprove seu conhecimento em entrevistas e complemente suas horas de estudo

📘 Cursos de Algoritmo, PHP, Java, JavaScript, Python, HTML5, CSS3, Git e muito mais!

🤝 Patrocínios, palestras e parcerias: envie um e-mail para comercial@cursoemvideo.com
",2013-05-11T01:25:44Z,BR,2730000,310272346,1807,,2026-06-16T11:25:37
@codigofontetv,UCFuIUoyHB12qpYa8Jpxoxow,Código Fonte TV,@codigofontetv,"Somos Gabriel Fróes e Vanessa Weber, um casal de programadores apaixonados por tecnologia desde 1996, Criamos o Código Fonte TV para servir de porta de entrada para novos programadores e profissionais de tecnologia. São diversos formatos diferentes de conteúdo onde discutimos sobre o maravilhoso mundo dos códigos de uma forma divertida e didática.

Contato exclusivo para negócios: contato@codigofonte.com.br
Participe do nosso Grupo VIP no Telegram: https://t.me/codigofontetv

Conheça também o @CompiladoPodcast, nosso podcast semanal sobre as notícias mais relevantes do mundo da tecnologia. Além de apresentar as notícias, nós também opinamos e trocamos ideias com nossos seguidores.

Nós ❤️ receber presentes, cartas, brindes e mimos.
Caixa Postal: 91735 - Cep: 25620-972
Petrópolis / RJ",2009-08-06T17:55:30Z,BR,767000,50833876,1054,,2026-06-16T11:25:37
@Rocketseat,UCSfwM5u0Kce6Cce8_S72olg,Rocketseat,@rocketseat,"Faaaala, Devs 🚀
 
Bem-vindos(a)s ao canal da Rocketseat no YouTube, o lugar onde você encontra a trajetória completa para construir sua carreira em tecnologia e Inteligência Artificial, do primeiro código até o próximo nível.
 
Somos a maior comunidade dev da América Latina e referência em educação de programação e IA para Devs, conectando aprendizado prático, mercado de trabalho e inovação em um só ecossistema.
 
Aqui no canal, você vai encontrar conteúdos super atualizados, práticos e aplicáveis para evoluir como dev, seja você iniciante ou experiente, passando por todas as etapas da carreira tech em diversas linguagens e tecnologias: Inteligência Artificial, React, Node, Python, DevOps, Next, Node, Go, Java, C# e muito mais!
 
Mais do que um canal de aulas, a Rocketseat é um ecossistema completo de ensino em tecnologia e Inteligência Artificial, e você está convidado(a) a fazer parte disso.
 
Aqui, você não aprende só a programar com IA, você evolui na carreira 💜
",2017-05-24T19:59:25Z,BR,393000,45454199,1950,,2026-06-16T11:25:37
@lucasmontano,UCyHOBY6IDZF9zOKJPou2Rgg,Lucas Montano,@lucasmontano,"Escrevendo código desde 2002, atualmente trabalho como Lead Engineer no Disney+ e falo sobre o que quero no Youtube. Tu pode se tornar membro para ter acesso a ""aulas"" e lives exclusivas: https://www.youtube.com/channel/UCyHOBY6IDZF9zOKJPou2Rgg/join
 
| 🧠 App para firmar conteúdo: http://memoapp.dev 
| 🍓 Tu não vai entender: https://stupidbutton.club
| 📱 Vendedor de Curso: https://appacademy.dev
| 💜 Comunidade no Discord: https://discord.gg/cK8nSccsgD

Da uma olhada no meu site pra mais links, lá tu encontra tudo que precisa saber sobre o que tenho feito e onde estou:
http://lucasmontano.com/
",2011-10-03T00:10:58Z,BR,387000,43178016,1213,,2026-06-16T11:25:37
@kipperdev,UCpKvMmsF6QrkVr_zWaLGK-A,Fernanda Kipper | Dev,@kipperdev,"Conteúdos sobre tecnologia, programação e dicas de carreira! - e as vezes umas piadas sem graça ;)
",2012-07-24T17:04:59Z,BR,197000,11353582,402,,2026-06-16T11:25:37
@DevDojoBrasil,UCjF0OccBT05WxsJb2zNkL4g,DevDojo,@devdojobrasil,As mais finas artes da programação,2016-02-12T21:07:27Z,BR,86900,9445122,1341,,2026-06-16T11:25:37
@baltaio,UCgnACLvM9O5lfm9ZBh_d3cg,balta,@baltaio,"Fala, dev! balta aqui! Neste canal você vai aprender tudo sobre C# e .NET, direto, na prática e sem enrolação.

São dicas, aulas, fundamentos, boas práticas, arquitetura, carreira e muito conteúdo pra quem quer se tornar um desenvolvedor(a) de verdade, do jeito certo. Bora codar junto? 🚀
",2016-07-25T23:57:31Z,BR,110000,7299156,911,,2026-06-16T11:25:37
@DiasdeDev,UCg1nJKjie4vb8FILBbv3F6A,Dias de Dev,@diasdedev,"Nesse canal eu pretendo te ensinar sobre princípios e padrões na área de desenvolvimento de software. Temas como testes automatizados, boas práticas de programação, segurança e performance são o foco aqui. Além disso, também vou me esforçar para te deixar a par de todas as novidades que estão surgindo no PHP, com playlists mostrando as novas funcionalidades de cada versão.",2020-01-27T21:26:56.49384Z,BR,38500,3433466,191,,2026-06-16T11:25:37
@Diolinux,UCEf5U1dB5a2e2S-XUlnhxSA,Diolinux,@diolinux,"Descubra o mundo da tecnologia com Diolinux! 🐧

Há mais de uma década, somos sua referência em tecnologia e Open Source. Nossa missão é descomplicar o Linux e conectá-lo ao seu dia a dia, mas sem esquecer do Windows, macOS, Android e Chrome OS.

Aqui você encontra conteúdo consistente sobre: 

🚀 Educação em TI:
Cursos gratuitos de Linux (iniciante ao avançado), Servidores, Docker e Self-hosting, com muito conteúdo avançado de forma simplificada.

 💻 Sistemas Operacionais: 
Análises detalhadas de Ubuntu, Pop!_OS, Linux Mint, Fedora, Arch Linux, Debian, Zorin OS, CachyOS, Red Hat e mais. 

🎮 Games e Hardware: 
O melhor do mundo gamer no Linux, Steam OS, Bazzite e reviews de hardware.

🎨 Carreira, Criatividade e Comportamento: 
Conversas sobre mercado de TI, a nossa relação com tecnologia, privacidade digital, Design (UX/UI), Marketing e desenvolvimento de produtos.

Tecnologia transforma!

👇Junte-se à nossa comunidade pinguim, apaixonada por aprender e compartilhar conhecimento. 🐧

",2012-07-24T00:42:16Z,BR,806000,144796729,2658,,2026-06-16T11:25:37
@linuxtips,UCJnKVGmXRXrH49Tvrx5X0Sw,LINUXtips,@linuxtips,"Bem-vindo ao Canal LinuxTips!

Toda semana um novo vídeo, sempre com dicas interessantes sobre Linux, DevOps, Docker, Kubernetes, automação e muito mais! E sempre com uma abordagem leve, descontraída e totalmente prática.

#LINUXtips #VAIIII
",2014-09-29T02:00:00Z,BR,122000,7231277,948,,2026-06-16T11:25:37
@BosonTreinamentos,UCzOGJclZQvPVgYZIwERsf5g,Bóson Treinamentos,@bosontreinamentos,"Fábio dos Reis e a Bóson Treinamentos em Tecnologia criam cursos em vídeo de forma gratuita, para disseminar conhecimento para o maior número de pessoas possível, com qualidade e facilidade de acesso.
Os cursos incluem, entre outros: Dicas de Carreira em TI, Inteligência Artificial, Lógica de Programação, Bancos de Dados SQL Server, MySQL e PostgreSQL, Windows Server, Microsoft Excel, Segurança e Criptografia, Redes de Computadores, Hardware, Arduino e Sistemas Embarcados, Eletrônica, Virtualização e Cloud Computing, Matemática para Computação, Programação em linguagens como C, PHP, Java e Python, Linux Ubuntu, Red Hat, Fedora, etc., Shell Scripting e muito mais.

Ajude o canal a se manter e crescer adquirindo os cursos da Bóson Treinamentos na Udemy:
→ Bancos de Dados com MySQL Básico: https://bit.ly/35QdWE4
→ Lógica de Programação com Português Estruturado: https://bit.ly/3QKPn22
→ Programação em Python do Zero: https://bit.ly/python-boson

",2012-09-13T18:10:22Z,BR,523000,54266156,2075,,2026-06-16T11:25:37
@flutterando,UCplT2lzN6MHlVHHLt6so39A,Flutterando,@flutterando,"Maior comunidade de Flutter/Dart do Brasil
www.flutterando.com.br",2011-10-14T18:25:51Z,BR,64700,5358055,748,,2026-06-16T11:25:37
@manodeyvin,UC1VZDEtGNxfQzh7EYcD2frg,mano deyvin,@manodeyvin,"o maior boteco de tecnologia do youtube
",2022-05-14T19:40:15.368949Z,BR,354000,67947823,1642,,2026-06-16T11:25:37
@fullcycle,UCMUoZehUZBhLb8XaTc8TQrA,Full Cycle,@fullcycle,A Full Cycle ajuda desenvolvedores a desenvolverem aplicações de grande porte!,2019-09-16T14:12:34Z,BR,196000,14526247,1008,,2026-06-16T11:25:37
@pasquadev,UCaftHbsPdXaHEwLQdIXGxbQ,pasquadev,@pasquadev,"Eu sou o Vinicius Pasquantonio — Staff Engineer com +13 anos de experiência, trabalhando remoto pra empresa americana.
Nesse canal: como devs de verdade usam IA.  Sem vibe coding. Sem tutoriais básicos.

Aqui: deep dives sobre IA e desenvolvimento de software. Sem hype, sem tutorial básico.

  Séries:
  → DDD Sem Frescura — Domain-Driven Design na prática
  → Como devs usam IA de verdade (não vibe coding)
  → Análise de papers e tendências de IA

  📬 Newsletter Malvadevs → pasquadev.beehiiv.com

Instagram: [https://www.instagram.com/pasquadev/](https://www.instagram.com/pasquadev/)
TikTok: [https://www.tiktok.com/@pasquadev](https://www.tiktok.com/@pasquadev)
Discord: [https://discord.gg/3mybDGGZmJ](https://discord.gg/3mybDGGZmJ)


",2021-04-10T21:37:02.165257Z,BR,26000,5829110,820,,2026-06-16T11:25:37
